French,English
histoire,history
chercher,search
seulement,only
police,police
genre,kind
mois,month
mettre,to put
laisse,leash
ville,city
parlé,speak
devrait,should
longtemps,long time
vont,will
pendant,while
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
pouvoir,power
vieux,old
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
aujourd'hui,today
enfin,finally
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
fin,end
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
